Title,Category,Date,Location,IsIsrael,HebrewYear,HebrewMonth,HebrewDay
Rosh Chodesh Nisan,roshchodesh,2015-03-21,Jerusalem,true,5775,1,1
Rosh Chodesh Sh'vat,roshchodesh,2015-01-21,Salford,false,5775,11,1
Rosh Chodesh Sh'vat,roshchodesh,2015-01-21,Jerusalem,true,5775,11,1
Rosh Chodesh Sivan,roshchodesh,2015-05-19,Salford,false,5775,3,1
Rosh Chodesh Sivan,roshchodesh,2015-05-19,Jerusalem,true,5775,3,1
Rosh Chodesh Tammuz,roshchodesh,2015-06-17,Jerusalem,true,5775,3,30
Rosh Chodesh Tammuz,roshchodesh,2015-06-17,Salford,false,5775,3,30
Rosh Chodesh Tevet,roshchodesh,2014-12-22,Jerusalem,true,5775,9,30
Rosh Chodesh Tevet,roshchodesh,2014-12-22,Salford,false,5775,9,30
Rosh Hashana 5775,holiday,2014-09-25,Jerusalem,true,5775,7,1
Rosh Hashana 5775,holiday,2014-09-25,Salford,false,5775,7,1
Rosh Hashana 5776,holiday,2015-09-14,Salford,false,5776,7,1
Rosh Hashana 5776,holiday,2015-09-14,Jerusalem,true,5776,7,1
Rosh Hashana 5777,holiday,2016-10-03,Jerusalem,true,5777,7,1
Rosh Hashana 5777,holiday,2016-10-03,Salford,false,5777,7,1
Rosh Hashana 5778,holiday,2017-09-21,Salford,false,5778,7,1
Rosh Hashana 5778,holiday,2017-09-21,Jerusalem,true,5778,7,1
Rosh Hashana 5779,holiday,2018-09-10,Jerusalem,true,5779,7,1
Rosh Hashana 5779,holiday,2018-09-10,Salford,false,5779,7,1
Rosh Hashana 5780,holiday,2019-09-30,Salford,false,5780,7,1
Rosh Hashana 5780,holiday,2019-09-30,Jerusalem,true,5780,7,1
Rosh Hashana 5781,holiday,2020-09-19,Salford,false,5781,7,1
Rosh Hashana 5781,holiday,2020-09-19,Jerusalem,true,5781,7,1
Rosh Hashana 5782,holiday,2021-09-07,Jerusalem,true,5782,7,1
Rosh Hashana 5782,holiday,2021-09-07,Salford,false,5782,7,1
Rosh Hashana 5783,holiday,2022-09-26,Jerusalem,true,5783,7,1
Rosh Hashana 5783,holiday,2022-09-26,Salford,false,5783,7,1
Rosh Hashana 5784,holiday,2023-09-16,Jerusalem,true,5784,7,1
Rosh Hashana 5784,holiday,2023-09-16,Salford,false,5784,7,1
Rosh Hashana 5785,holiday,2024-10-03,Jerusalem,true,5785,7,1
Rosh Hashana 5785,holiday,2024-10-03,Salford,false,5785,7,1
Rosh Hashana II,holiday,2014-09-26,Jerusalem,true,5775,7,2
Rosh Hashana II,holiday,2014-09-26,Salford,false,5775,7,2
Rosh Hashana LaBehemot,holiday,2015-08-16,Salford,false,5775,6,1
Rosh Hashana LaBehemot,holiday,2015-08-16,Jerusalem,true,5775,6,1
Shabbat Chazon,holiday,2015-07-25,Jerusalem,true,5775,5,9
Shabbat Chazon,holiday,2015-07-25,Salford,false,5775,5,9
Shabbat HaChodesh,holiday,2015-03-21,Jerusalem,true,5775,1,1
Shabbat HaChodesh,holiday,2015-03-21,Salford,false,5775,1,1
Shabbat HaGadol,holiday,2015-03-28,Salford,false,5775,1,8
Shabbat HaGadol,holiday,2015-03-28,Jerusalem,true,5775,1,8
Shabbat Nachamu,holiday,2015-08-01,Salford,false,5775,5,16
Shabbat Nachamu,holiday,2015-08-01,Jerusalem,true,5775,5,16
Shabbat Parah,holiday,2015-03-14,Salford,false,5775,12,23
Shabbat Parah,holiday,2015-03-14,Jerusalem,true,5775,12,23
Shabbat Shekalim,holiday,2015-02-14,Jerusalem,true,5775,11,25
Shabbat Shekalim,holiday,2015-02-14,Salford,false,5775,11,25
Shabbat Shirah,holiday,2015-01-31,Salford,false,5775,11,11
Shabbat Shirah,holiday,2015-01-31,Jerusalem,true,5775,11,11
Shabbat Shuva,holiday,2014-09-27,Salford,false,5775,7,3
Shabbat Shuva,holiday,2014-09-27,Jerusalem,true,5775,7,3
Shabbat Zachor,holiday,2015-02-28,Jerusalem,true,5775,12,9
Shabbat Zachor,holiday,2015-02-28,Salford,false,5775,12,9
Shavuot,holiday,2015-05-24,Jerusalem,true,5775,3,6
Shavuot I,holiday,2015-05-24,Salford,false,5775,3,6
Shavuot II,holiday,2015-05-25,Salford,false,5775,3,7
Shmini Atzeret,holiday,2014-10-16,Jerusalem,true,5775,7,22
Shmini Atzeret,holiday,2014-10-16,Salford,false,5775,7,22
Shushan Purim,holiday,2015-03-06,Salford,false,5775,12,15
Shushan Purim,holiday,2015-03-06,Jerusalem,true,5775,12,15
Shushan Purim Katan,holiday,2016-02-24,Salford,false,5776,12,15
Shushan Purim Katan,holiday,2016-02-24,Jerusalem,true,5776,12,15
Sigd,holiday,2014-11-20,Salford,false,5775,8,27
Sigd,holiday,2014-11-20,Jerusalem,true,5775,8,27
Simchat Torah,holiday,2014-10-17,Salford,false,5775,7,23
Sukkot I,holiday,2014-10-09,Jerusalem,true,5775,7,15
Sukkot I,holiday,2014-10-09,Salford,false,5775,7,15
Sukkot II,holiday,2014-10-10,Salford,false,5775,7,16
Sukkot II (CH''M),holiday,2014-10-10,Jerusalem,true,5775,7,16
