HebCal Title,HebCal Category,Date,Location,Israel Mode,Matched Tag,Match Type,Hebrew Year
Pesach VII,holiday,2015-04-10,Salford,false,pesach,group,5775
Pesach VIII,holiday,2015-04-11,Salford,false,pesach,group,5775
Purim,holiday,2015-03-05,Jerusalem,true,purim,exact,5775
Purim,holiday,2015-03-05,Salford,false,purim,exact,5775
Purim Katan,holiday,2016-02-23,Jerusalem,true,purim_katan,exact,5776
Purim Katan,holiday,2016-02-23,Salford,false,purim_katan,exact,5776
Purim Meshulash,holiday,2021-02-28,Jerusalem,true,purim_meshulash,exact,5781
Purim Meshulash,holiday,2021-02-28,Salford,false,purim_meshulash,exact,5781
Rosh Hashana 5775,holiday,2014-09-25,Jerusalem,true,rosh_hashana,group,5775
Rosh Hashana 5775,holiday,2014-09-25,Salford,false,rosh_hashana,group,5775
Rosh Hashana 5776,holiday,2015-09-14,Jerusalem,true,rosh_hashana,group,5776
Rosh Hashana 5776,holiday,2015-09-14,Salford,false,rosh_hashana,group,5776
Rosh Hashana 5777,holiday,2016-10-03,Jerusalem,true,rosh_hashana,group,5777
Rosh Hashana 5777,holiday,2016-10-03,Salford,false,rosh_hashana,group,5777
Rosh Hashana 5778,holiday,2017-09-21,Jerusalem,true,rosh_hashana,group,5778
Rosh Hashana 5778,holiday,2017-09-21,Salford,false,rosh_hashana,group,5778
Rosh Hashana 5779,holiday,2018-09-10,Jerusalem,true,rosh_hashana,group,5779
Rosh Hashana 5779,holiday,2018-09-10,Salford,false,rosh_hashana,group,5779
Rosh Hashana 5780,holiday,2019-09-30,Jerusalem,true,rosh_hashana,group,5780
Rosh Hashana 5780,holiday,2019-09-30,Salford,false,rosh_hashana,group,5780
Rosh Hashana 5781,holiday,2020-09-19,Jerusalem,true,rosh_hashana,group,5781
Rosh Hashana 5781,holiday,2020-09-19,Salford,false,rosh_hashana,group,5781
Rosh Hashana 5782,holiday,2021-09-07,Jerusalem,true,rosh_hashana,group,5782
Rosh Hashana 5782,holiday,2021-09-07,Salford,false,rosh_hashana,group,5782
Rosh Hashana 5783,holiday,2022-09-26,Jerusalem,true,rosh_hashana,group,5783
Rosh Hashana 5783,holiday,2022-09-26,Salford,false,rosh_hashana,group,5783
Rosh Hashana 5784,holiday,2023-09-16,Jerusalem,true,rosh_hashana,group,5784
Rosh Hashana 5784,holiday,2023-09-16,Salford,false,rosh_hashana,group,5784
Rosh Hashana 5785,holiday,2024-10-03,Jerusalem,true,rosh_hashana,group,5785
Rosh Hashana 5785,holiday,2024-10-03,Salford,false,rosh_hashana,group,5785
Rosh Hashana 5786,holiday,2025-09-23,Jerusalem,true,rosh_hashana,group,5786
Rosh Hashana 5786,holiday,2025-09-23,Salford,false,rosh_hashana,group,5786
Rosh Hashana 5787,holiday,2026-09-12,Jerusalem,true,rosh_hashana,group,5787
Rosh Hashana 5787,holiday,2026-09-12,Salford,false,rosh_hashana,group,5787
Rosh Hashana 5788,holiday,2027-10-02,Jerusalem,true,rosh_hashana,group,5788
Rosh Hashana 5788,holiday,2027-10-02,Salford,false,rosh_hashana,group,5788
Rosh Hashana 5789,holiday,2028-09-21,Jerusalem,true,rosh_hashana,group,5789
Rosh Hashana 5789,holiday,2028-09-21,Salford,false,rosh_hashana,group,5789
Rosh Hashana 5790,holiday,2029-09-10,Jerusalem,true,rosh_hashana,group,5790
Rosh Hashana 5790,holiday,2029-09-10,Salford,false,rosh_hashana,group,5790
Rosh Hashana 5791,holiday,2030-09-28,Jerusalem,true,rosh_hashana,group,5791
Rosh Hashana 5791,holiday,2030-09-28,Salford,false,rosh_hashana,group,5791
Rosh Hashana 5792,holiday,2031-09-18,Jerusalem,true,rosh_hashana,group,5792
Rosh Hashana 5792,holiday,2031-09-18,Salford,false,rosh_hashana,group,5792
Rosh Hashana 5793,holiday,2032-09-06,Jerusalem,true,rosh_hashana,group,5793
Rosh Hashana 5793,holiday,2032-09-06,Salford,false,rosh_hashana,group,5793
Rosh Hashana 5794,holiday,2033-09-24,Jerusalem,true,rosh_hashana,group,5794
Rosh Hashana 5794,holiday,2033-09-24,Salford,false,rosh_hashana,group,5794
Rosh Hashana 5795,holiday,2034-09-14,Jerusalem,true,rosh_hashana,group,5795
Rosh Hashana 5795,holiday,2034-09-14,Salford,false,rosh_hashana,group,5795
Rosh Hashana 5796,holiday,2035-10-04,Jerusalem,true,rosh_hashana,group,5796
Rosh Hashana 5796,holiday,2035-10-04,Salford,false,rosh_hashana,group,5796
Rosh Hashana 5797,holiday,2036-09-22,Jerusalem,true,rosh_hashana,group,5797
Rosh Hashana 5797,holiday,2036-09-22,Salford,false,rosh_hashana,group,5797
Rosh Hashana 5798,holiday,2037-09-10,Jerusalem,true,rosh_hashana,group,5798
Rosh Hashana 5798,holiday,2037-09-10,Salford,false,rosh_hashana,group,5798
Rosh Hashana 5799,holiday,2038-09-30,Jerusalem,true,rosh_hashana,group,5799
Rosh Hashana 5799,holiday,2038-09-30,Salford,false,rosh_hashana,group,5799
Rosh Hashana 5800,holiday,2039-09-19,Jerusalem,true,rosh_hashana,group,5800
Rosh Hashana 5800,holiday,2039-09-19,Salford,false,rosh_hashana,group,5800
Rosh Hashana 5801,holiday,2040-09-08,Jerusalem,true,rosh_hashana,group,5801
Rosh Hashana 5801,holiday,2040-09-08,Salford,false,rosh_hashana,group,5801
Rosh Hashana 5802,holiday,2041-09-26,Jerusalem,true,rosh_hashana,group,5802
Rosh Hashana 5802,holiday,2041-09-26,Salford,false,rosh_hashana,group,5802
Rosh Hashana 5803,holiday,2042-09-15,Jerusalem,true,rosh_hashana,group,5803
Rosh Hashana 5803,holiday,2042-09-15,Salford,false,rosh_hashana,group,5803
Rosh Hashana 5804,holiday,2043-10-05,Jerusalem,true,rosh_hashana,group,5804
Rosh Hashana 5804,holiday,2043-10-05,Salford,false,rosh_hashana,group,5804
Rosh Hashana 5805,holiday,2044-09-22,Jerusalem,true,rosh_hashana,group,5805
