HebCal Title,HebCal Category,Date,Location,Israel Mode,Matched Tag,Match Type,Hebrew Year
Shabbat Parah,holiday,2015-03-14,Salford,false,shabbos_parah,exact,5775
Shabbat Shekalim,holiday,2015-02-14,Jerusalem,true,shabbos_shekalim,exact,5775
Shabbat Shekalim,holiday,2015-02-14,Salford,false,shabbos_shekalim,exact,5775
Shabbat Shirah,holiday,2015-01-31,Jerusalem,true,shabbos_shirah,exact,5775
Shabbat Shirah,holiday,2015-01-31,Salford,false,shabbos_shirah,exact,5775
Shabbat Shuva,holiday,2014-09-27,Jerusalem,true,shabbos_shuva,exact,5775
Shabbat Shuva,holiday,2014-09-27,Salford,false,shabbos_shuva,exact,5775
Shabbat Zachor,holiday,2015-02-28,Jerusalem,true,shabbos_zachor,exact,5775
Shabbat Zachor,holiday,2015-02-28,Salford,false,shabbos_zachor,exact,5775
Shavuot,holiday,2015-05-24,Jerusalem,true,shavuos_israel,exact,5775
Shavuot I,holiday,2015-05-24,Salford,false,shavuos,group,5775
Shavuot II,holiday,2015-05-25,Salford,false,shavuos,group,5775
Shmini Atzeret,holiday,2014-10-16,Jerusalem,true,shmini_atzeres,exact,5775
Shmini Atzeret,holiday,2014-10-16,Salford,false,shmini_atzeres,exact,5775
Shushan Purim,holiday,2015-03-06,Jerusalem,true,shushan_purim,exact,5775
Shushan Purim,holiday,2015-03-06,Salford,false,shushan_purim,exact,5775
Shushan Purim Katan,holiday,2016-02-24,Jerusalem,true,shushan_purim_katan,exact,5776
Shushan Purim Katan,holiday,2016-02-24,Salford,false,shushan_purim_katan,exact,5776
Sigd,holiday,2014-11-20,Jerusalem,true,sigd,exact,5775
Sigd,holiday,2014-11-20,Salford,false,sigd,exact,5775
Simchat Torah,holiday,2014-10-17,Salford,false,simchas_torah,exact,5775
Sukkot I,holiday,2014-10-09,Jerusalem,true,sukkos,group,5775
Sukkot I,holiday,2014-10-09,Salford,false,sukkos,group,5775
Sukkot II,holiday,2014-10-10,Salford,false,sukkos,group,5775
Sukkot II (CH''M),holiday,2014-10-10,Jerusalem,true,sukkos,group,5775
Sukkot III (CH''M),holiday,2014-10-11,Jerusalem,true,sukkos,group,5775
Sukkot III (CH''M),holiday,2014-10-11,Salford,false,sukkos,group,5775
Sukkot IV (CH''M),holiday,2014-10-12,Jerusalem,true,sukkos,group,5775
Sukkot IV (CH''M),holiday,2014-10-12,Salford,false,sukkos,group,5775
Sukkot V (CH''M),holiday,2014-10-13,Jerusalem,true,sukkos,group,5775
Sukkot V (CH''M),holiday,2014-10-13,Salford,false,sukkos,group,5775
Sukkot VI (CH''M),holiday,2014-10-14,Jerusalem,true,sukkos,group,5775
Sukkot VI (CH''M),holiday,2014-10-14,Salford,false,sukkos,group,5775
Sukkot VII (Hoshana Raba),holiday,2014-10-15,Jerusalem,true,sukkos,group,5775
Sukkot VII (Hoshana Raba),holiday,2014-10-15,Salford,false,sukkos,group,5775
Tu B'Av,holiday,2015-07-31,Jerusalem,true,tu_bav,exact,5775
Tu B'Av,holiday,2015-07-31,Salford,false,tu_bav,exact,5775
Tu BiShvat,holiday,2015-02-04,Jerusalem,true,tu_bishvat,exact,5775
Tu BiShvat,holiday,2015-02-04,Salford,false,tu_bishvat,exact,5775
Yitzhak Rabin Memorial Day,holiday,2014-11-05,Jerusalem,true,israeli_civic_rabin_memorial,exact,5775
Yom HaAliyah,holiday,2017-04-06,Jerusalem,true,yom_haaliyah,exact,5777
Yom HaAliyah,holiday,2017-04-06,Salford,false,yom_haaliyah,exact,5777
Yom HaAliyah School Observance,holiday,2016-11-08,Jerusalem,true,israeli_civic_yom_haaliyah_school,exact,5777
Yom HaAtzma'ut,holiday,2015-04-23,Jerusalem,true,yom_haatzmaut,exact,5775
Yom HaAtzma'ut,holiday,2015-04-23,Salford,false,yom_haatzmaut,exact,5775
Yom HaShoah,holiday,2015-04-16,Jerusalem,true,yom_hashoah,exact,5775
Yom HaShoah,holiday,2015-04-16,Salford,false,yom_hashoah,exact,5775
Yom HaZikaron,holiday,2015-04-22,Jerusalem,true,yom_hazikaron,exact,5775
Yom HaZikaron,holiday,2015-04-22,Salford,false,yom_hazikaron,exact,5775
Yom Yerushalayim,holiday,2015-05-17,Jerusalem,true,yom_yerushalayim,exact,5775
Yom Yerushalayim,holiday,2015-05-17,Salford,false,yom_yerushalayim,exact,5775
Rosh Chodesh Adar,roshchodesh,2015-02-19,Jerusalem,true,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Adar,roshchodesh,2015-02-19,Salford,false,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Adar I,roshchodesh,2016-02-09,Jerusalem,true,hebcal_rosh_chodesh,category,5776
Rosh Chodesh Adar I,roshchodesh,2016-02-09,Salford,false,hebcal_rosh_chodesh,category,5776
Rosh Chodesh Adar II,roshchodesh,2016-03-10,Jerusalem,true,hebcal_rosh_chodesh,category,5776
Rosh Chodesh Adar II,roshchodesh,2016-03-10,Salford,false,hebcal_rosh_chodesh,category,5776
Rosh Chodesh Av,roshchodesh,2015-07-17,Jerusalem,true,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Av,roshchodesh,2015-07-17,Salford,false,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Cheshvan,roshchodesh,2014-10-24,Jerusalem,true,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Cheshvan,roshchodesh,2014-10-24,Salford,false,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Elul,roshchodesh,2015-08-15,Jerusalem,true,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Elul,roshchodesh,2015-08-15,Salford,false,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Iyyar,roshchodesh,2015-04-19,Jerusalem,true,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Iyyar,roshchodesh,2015-04-19,Salford,false,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Kislev,roshchodesh,2014-11-23,Jerusalem,true,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Kislev,roshchodesh,2014-11-23,Salford,false,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Nisan,roshchodesh,2015-03-21,Jerusalem,true,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Nisan,roshchodesh,2015-03-21,Salford,false,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Sh'vat,roshchodesh,2015-01-21,Jerusalem,true,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Sh'vat,roshchodesh,2015-01-21,Salford,false,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Sivan,roshchodesh,2015-05-19,Jerusalem,true,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Sivan,roshchodesh,2015-05-19,Salford,false,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Tammuz,roshchodesh,2015-06-17,Jerusalem,true,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Tammuz,roshchodesh,2015-06-17,Salford,false,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Tevet,roshchodesh,2014-12-22,Jerusalem,true,hebcal_rosh_chodesh,category,5775
Rosh Chodesh Tevet,roshchodesh,2014-12-22,Salford,false,hebcal_rosh_chodesh,category,5775
